fixed rate,success rate,failure rate,error rate,success std,failure std,error std
0.0,0.8306333475728607,0.0,0.16936665242713925,0.011675728114084781,0.0,0.011675728114084781
0.1875,0.671548442264819,0.18574535522948327,0.14270620250569763,0.014825414851663749,0.011984065702613761,0.010953814832416354
0.375,0.5186063741371703,0.37110678824224486,0.11028683762058483,0.015073845943300725,0.014646184900057944,0.00981874231955991
0.5625,0.4013818987664422,0.5613848521964642,0.0372332490370937,0.015407815963489061,0.015091569446248601,0.006034263469794772
0.75,0.24569512881281116,0.7484839322626236,0.005820938924565365,0.013368708957837799,0.013527018897354613,0.002352151258016668
0.0,0.831085590942844,0.0,0.1689144090571561,0.011697439720468014,0.0,0.011697439720468014
0.1875,0.6752096353996555,0.1861019607456278,0.13868840385471662,0.014062126869360661,0.011888257520089351,0.011023045660197621
0.375,0.5161530147079503,0.3737105439055908,0.11013644138645887,0.016665005620703163,0.015720447171429286,0.009586573969961015
0.5625,0.40680064061519067,0.5610594921632283,0.03213986722158104,0.01580151343052164,0.015489817971578132,0.005564446408962245
0.75,0.24406553504890702,0.7475329149748986,0.00840154997619436,0.013298714439013728,0.013428646624363673,0.002781099473776545
0.0,0.8301651568419495,0.0,0.16983484315805056,0.011761253293973675,0.0,0.011761253293973673
0.1875,0.6547331617577936,0.18545292503000638,0.1598139132121999,0.014537872267982395,0.01199113588598299,0.011745310319026425
0.375,0.529579663965442,0.37275011634241445,0.09767021969214344,0.016032296893217425,0.015559032824819203,0.009452453909353618
0.5625,0.39375715053481886,0.5611137411309658,0.0451291083342154,0.01573596604420522,0.01600826208957268,0.006546090192481279
0.75,0.24014637622844082,0.7474181894780807,0.012435434293478495,0.01373652332228939,0.013902714978385026,0.003585325118389419
0.0,0.8303390286829276,0.0,0.16966097131707242,0.012021993753327378,0.0,0.012021993753327378
0.1875,0.644427823181174,0.18571222485763866,0.1698599519611874,0.015195757940071634,0.012477859258038893,0.011982998397414648
0.375,0.5118921163141057,0.3724107846002401,0.11569709908565422,0.01531966390661091,0.015086133464741608,0.010330767692890628
0.5625,0.40681553853436236,0.5610977849455991,0.032086676520038354,0.01586819337317956,0.015898280121332913,0.0054173998851248595
0.75,0.24186563422992957,0.7481691304016594,0.009965235368410897,0.013380027500088027,0.013688726393703039,0.0032362287317240137
0.0,0.8304168596191311,0.0,0.16958314038086894,0.01181074172735028,0.0,0.01181074172735028
0.1875,0.6712752549704988,0.18603365892827764,0.14269108610122358,0.014565449487688788,0.01234145720378333,0.010867749822153465
0.375,0.5074804256401152,0.37298874163094536,0.11953083272893937,0.016372925655478095,0.015082709092704325,0.010637721209580508
0.5625,0.3895847349372222,0.5609007696794227,0.0495144953833552,0.015134194442228834,0.015263241854672028,0.00679784116102878
0.75,0.24437878527212906,0.7478085901918523,0.007812624536018544,0.013658715560588286,0.013784236852950358,0.002870891112546224
0.0,0.8304534714484254,0.0,0.16954652855157462,0.01130899033559104,0.0,0.01130899033559104
0.1875,0.6787630599940883,0.18564003116700897,0.13559690883890266,0.014220067985538836,0.01202442476150134,0.010528102776394294
0.375,0.5206703465164036,0.3733476624845263,0.10598199099907007,0.015692081211088393,0.015321980119112897,0.009623095324257498
0.5625,0.39551827387838034,0.5598553238763153,0.044626402245304335,0.015182397614280533,0.015555079803627785,0.006493663386300402
0.75,0.24265039497185345,0.7474335082897776,0.009916096738369,0.013434908378513903,0.013673513832495932,0.0031005880253449454
0.0,0.8315814009632735,0.0,0.1684185990367265,0.011510678266253158,0.0,0.011510678266253158
0.1875,0.6772678631393957,0.1855535386440845,0.1371785982165198,0.015233184661536048,0.012413929531294485,0.010769435162967205
0.375,0.5172289588652971,0.3740345145075519,0.10873652662715103,0.015258116561681431,0.015376557227516366,0.010077103512853942
0.5625,0.38426448605258984,0.5605974057837256,0.05513810816368438,0.015308112212166929,0.015722266294186996,0.007251129934470185
0.75,0.233005449296534,0.7474084648513551,0.019586085852110892,0.01353433040949885,0.013947225958469483,0.0045309324921904825
0.0,0.8307118842606358,0.0,0.16928811573936425,0.011352389329580425,0.0,0.011352389329580425
0.1875,0.6859529098176909,0.18654362934479155,0.12750346083751746,0.014316658216964833,0.012000506758514964,0.01008892525472945
0.375,0.5088435586163,0.3715954966983877,0.11956094468531227,0.016002291561065796,0.014984591898029817,0.010517741143802052
0.5625,0.36796315972315663,0.5598944317699057,0.07214240850693761,0.015062657975130353,0.015177213409240413,0.008157784039399284
0.75,0.24840752610944908,0.7475830728311903,0.004009401059360698,0.01329523840000442,0.013433929222301631,0.002006793929476915
0.0,0.830548446391452,0.0,0.169451553608548,0.01174097850120399,0.0,0.01174097850120399
0.1875,0.6913104342708917,0.18622875733107383,0.12246080839803448,0.01488025455044859,0.011939830710521014,0.010811732773089505
0.375,0.5358274140997276,0.37269355629052336,0.09147902960974914,0.015543835508017226,0.015254500394911118,0.00924077619975459
0.5625,0.39616848500708124,0.5599887888154241,0.043842726177494615,0.015516099028216932,0.015615642627097729,0.0065749725000563315
0.75,0.25029887688803576,0.7482486182509529,0.0014525048610114753,0.013767089034663027,0.01380865710585981,0.0012281211418047916
0.0,0.8303607694668663,0.0,0.16963923053313357,0.011888319588951349,0.0,0.011888319588951347
